Order_ID,Customer_Name,Category,Product,Region,Order_Date,Quantity,Price,Discount_%,Sales,Profit
ORD00001,Susan Mendoza,Beauty,Lipstick,South,2024-01-29,2,213,15,426,118.81
ORD00002,Lance Flores,Electronics,Laptop,West,2025-01-22,5,205,0,1025,96.4
ORD00003,James Garner,Home & Kitchen,Chair,North,2024-09-28,2,137,0,274,54.74
ORD00004,Stephen Tanner,Fashion,Jeans,West,2024-05-29,5,182,5,910,172.89
ORD00005,Shannon Kemp,Sports,Cricket Bat,South,2025-04-16,3,649,0,1947,410.68
ORD00006,Anthony Wilson,Beauty,Lipstick,East,2024-12-16,3,700,10,2100,290.92
ORD00007,Kendra Phillips,Fashion,Shoes,West,2024-03-05,5,196,15,980,236.98
ORD00008,Christina Mcdonald,Beauty,Face Wash,South,2024-08-03,2,927,10,1854,409.35
ORD00009,John Edwards,Beauty,Perfume,North,2024-03-30,3,875,15,2625,159.62
ORD00010,Jacob Landry,Sports,Cricket Bat,North,2025-05-11,5,931,5,4655,1394.21
ORD00011,William Sosa,Sports,Dumbbells,North,2024-07-27,4,712,15,2848,442.8
ORD00012,Daniel Davis,Home & Kitchen,Table Lamp,East,2024-07-12,1,530,0,530,121.97
ORD00013,Matthew Matthews,Beauty,Moisturizer,West,2024-06-06,4,449,10,1796,314.89
ORD00014,Debra Galloway,Fashion,T-Shirt,West,2024-09-25,1,430,5,430,81.05
ORD00015,Megan Jackson,Sports,Yoga Mat,West,2024-04-23,3,649,10,1947,104.34
ORD00016,Kelly Wheeler,Home & Kitchen,Chair,West,2024-12-05,1,295,5,295,77.23
ORD00017,Jonathan Frazier,Sports,Dumbbells,East,2025-01-31,1,51,0,51,11.16
ORD00018,Jesse Johnson MD,Home & Kitchen,Cookware,South,2025-04-01,5,103,10,515,35.4
ORD00019,John Harris,Electronics,Laptop,East,2024-08-24,3,525,5,1575,192.07
ORD00020,Daniel Price,Home & Kitchen,Cookware,East,2025-02-08,2,63,20,126,17.98
ORD00021,Patricia Coffey,Fashion,T-Shirt,East,2025-05-12,3,73,0,219,36.22
ORD00022,Robin Good,Electronics,Smartphone,West,2024-07-18,5,222,20,1110,229.0
ORD00023,George Lewis,Sports,Cricket Bat,West,2025-03-16,1,799,5,799,222.17
ORD00024,Emily Garcia,Home & Kitchen,Chair,West,2025-01-27,5,89,15,445,132.54
ORD00025,Cynthia Weaver,Electronics,Smartphone,South,2024-03-10,1,367,10,367,25.87
ORD00026,Glenn Snyder,Electronics,Laptop,North,2025-03-10,5,571,5,2855,246.62
ORD00027,Sara Morris,Beauty,Perfume,South,2024-08-27,3,712,20,2136,437.47
ORD00028,Kenneth Wilson,Fashion,Jacket,South,2024-10-15,5,468,20,2340,338.77
ORD00029,Jordan Graham,Electronics,Smartwatch,West,2024-06-18,1,986,0,986,126.37
ORD00030,Nicholas Campbell,Beauty,Face Wash,East,2024-11-25,3,138,20,414,124.06
